attack,model,judge_model,overall_acc,easy_acc,med_acc,hard_acc
naive,deepseek_7b,llama_3_1_8B_it,35.094339622641506,24.615384615384617,32.02614379084967,58.69565217391305
naive,deepseek_14b,llama_3_1_8B_it,25.609756097560975,19.444444444444446,25.263157894736842,34.375
naive,deepseek_32b,llama_3_1_8B_it,15.887850467289718,26.923076923076923,11.29032258064516,11.11111111111111
naive,qwen_2_5_7b,llama_3_1_8B_it,9.0,11.428571428571429,8.092485549132949,8.928571428571429
naive,qwq_32b,llama_3_1_8B_it,20.469798657718123,28.57142857142857,18.128654970760234,17.857142857142858
naive,llama_3_1_8B_it,llama_3_1_8B_it,23.333333333333332,28.57142857142857,22.54335260115607,19.642857142857142
alter,deepseek_7b,llama_3_1_8B_it,52.57142857142857,35.0,55.44554455445545,66.66666666666666
alter,deepseek_14b,llama_3_1_8B_it,46.49122807017544,48.0,47.05882352941176,40.0
alter,deepseek_32b,llama_3_1_8B_it,12.0,9.090909090909092,11.11111111111111,18.181818181818183
alter,qwen_2_5_7b,llama_3_1_8B_it,5.0,5.714285714285714,4.046242774566474,7.142857142857142
alter,qwq_32b,llama_3_1_8B_it,17.46031746031746,15.873015873015872,20.0,11.627906976744185
alter,llama_3_1_8B_it,llama_3_1_8B_it,19.0,24.285714285714285,17.91907514450867,14.285714285714285
irrelevant,deepseek_7b,llama_3_1_8B_it,35.094339622641506,27.692307692307693,31.372549019607842,56.52173913043478
irrelevant,deepseek_14b,llama_3_1_8B_it,23.170731707317074,22.22222222222222,18.947368421052634,37.5
irrelevant,deepseek_32b,llama_3_1_8B_it,14.423076923076922,16.0,16.129032258064516,6.25
irrelevant,qwen_2_5_7b,llama_3_1_8B_it,9.666666666666666,8.571428571428571,10.404624277456648,7.142857142857142
irrelevant,qwq_32b,llama_3_1_8B_it,24.354243542435423,23.18840579710145,27.21518987341772,16.27906976744186
irrelevant,llama_3_1_8B_it,llama_3_1_8B_it,23.0,28.57142857142857,19.653179190751445,25.0
paraphrase,deepseek_7b,llama_3_1_8B_it,30.970149253731343,25.757575757575758,27.27272727272727,51.06382978723404
paraphrase,deepseek_14b,llama_3_1_8B_it,27.388535031847134,17.647058823529413,28.26086956521739,36.666666666666664
paraphrase,deepseek_32b,llama_3_1_8B_it,14.000000000000002,16.0,16.666666666666664,0.0
paraphrase,qwen_2_5_7b,llama_3_1_8B_it,8.333333333333332,8.571428571428571,8.092485549132949,7.142857142857142
paraphrase,qwq_32b,llama_3_1_8B_it,26.5625,27.586206896551722,26.027397260273972,28.000000000000004
paraphrase,llama_3_1_8B_it,llama_3_1_8B_it,22.333333333333332,28.57142857142857,20.809248554913296,19.642857142857142
